Episodes,cost
0,48.645310392707145
1,49.33066127644057
2,95.99455671010782
3,144.78018585520195
4,97.03348011327387
5,117.28624225050561
6,165.1109601276296
7,122.90620392823497
8,170.81603416317805
9,105.05456849708987
10,223.6630483003868
11,131.80938185776418
12,142.89468169962848
13,65.41068464060751
14,120.27894875497371
15,136.86218654382955
16,100.11513872710906
17,61.910119989924354
18,231.62996887183127
19,47.22021805631266
20,110.28221169609498
21,63.57347506386802
22,73.32514068465557
23,48.62016060602842
24,100.81607655147388
25,130.28458461818497
26,85.89704487189472
27,101.67964169468618
28,66.63752689991682
29,112.49105637714554
30,45.7689588394928
31,97.95857197683034
32,64.62598474650468
33,57.69909762307087
34,43.82633243808547
35,29.51907516415898
36,30.207664786649616
37,83.82931351621154
38,45.98290909935706
39,95.32474847334662
40,55.94365988510501
41,40.514330469878104
42,70.88177478221314
43,29.83194965048046
44,39.88825441590077
45,39.51718861074558
46,29.684829676054324
47,39.81740976038972
48,39.38265563518858
49,62.21145082134224
50,23.413536957066228
51,42.89007430440519
52,43.56242718506608
53,49.48592733879565
54,58.48788216815396
55,24.141504612535776
56,44.555052389951086
57,90.98343596350536
58,22.83753349275535
59,22.34451297110205
60,18.26062523214534
61,24.49873537779019
62,24.588486827158974
63,91.92481336551745
64,19.731660037671617
65,19.610496402869114
66,92.01768673853879
67,19.48725562653795
68,13.611099115345556
69,37.47889712488435
70,42.803710464546256
71,110.20854860064
72,25.08788628046524
73,31.81537377391006
74,12.072243022042105
75,13.971484587727648
76,14.596370313869755
77,17.450876312593625
78,5.638966534002385
79,20.107333455298328
80,11.35672719903243
81,15.239572717714484
82,99.30194279984136
83,36.39490079206848
84,8.190044127304816
85,15.682314978136425
86,8.246847726401192
87,30.17708285652408
88,31.679862939307323
89,6.970157933148731
90,5.533910013499049
91,40.56792252519516
92,16.18462645178697
93,26.347623525686384
94,14.124920633943564
95,5.024877541543486
96,3.4281332158448494
97,6.471519537184671
98,5.07982524684673
99,20.26219985918958
100,18.74808587524658
101,22.67312065058765
102,18.731892622995478
103,27.202967148648014
104,3.427204814384077
105,10.537654716366102
106,27.23565860920688
107,8.269866109444818
108,38.127742990229734
109,4.181044371334765
110,6.603383133219234
111,4.2609570731291875
112,3.2975312804157753
113,14.432832889014602
114,3.063778076639614
115,90.2524299831319
116,8.894496533725562
117,16.09923038829226
118,7.432080355762869
119,3.221690288021809
120,11.097030299404128
121,2.87735339880776
122,13.155751198421559
123,18.515367737456785
124,2.685361496234842
125,6.1828851146293005
126,1.7854184829671973
127,90.5230477301931
128,1.9489173945322555
129,8.738254544085923
130,4.496459624224329
131,2.6025017692335113
132,19.584159874704312
133,28.301753456751918
134,2.072255336905745
135,6.852646600567226
136,2.0317259126097444
137,1.3388143128163312
138,21.15576455017067
139,1.7517108219820137
140,2.4500441335015277
141,25.2290036439459
142,1.764032749573623
143,1.3066390024309928
144,22.510712410921798
145,6.958705181988275
146,18.035199869460776
147,2.3092644516687537
148,1.311960796843998
149,1.1727375236072195
150,0.9090942612573509
151,0.9247099422834721
152,8.603467466598644
153,3.834201152480196
154,0.5962464564862056
155,0.5625509063293856
156,9.694459467608779
157,1.7481495703548084
158,0.5171228895675153
159,0.4002253666130908
160,0.4625339515865541
161,4.307856400208756
162,0.38761065398868944
163,0.3163593339671449
164,0.3461390066680101
165,0.34687207689596367
166,4.098455023382849
167,0.25184936212241116
168,0.2223948016166899
169,0.1394532039511711
170,0.06727138515348674
171,35.24134380366217
172,0.010085867971729279
173,0.8065480980655817
174,0.0011096768663723111
175,8.13444105186571
176,0.00010401794108361173
177,3.0672330642467216e-05
178,8.882580713631683e-06
179,90.00000253525657
180,7.151063581289918e-07
181,14.439773347367769
182,5.536305991427071e-08
183,1.5244976836470414e-08
184,4.176296641844601e-09
185,1.1394618582016847e-09
186,3.099387413385557e-10
187,8.411582541612006e-11
188,2.2794210963184014e-11
189,6.17106366007647e-12
190,1.6679990721968352e-12
191,4.5297099404706387e-13
192,0.0916467662692515
193,3.375077994860476e-14
194,8.881784197001252e-15
195,1.7763568394002505e-15
196,0.0
197,0.0
198,0.0
199,0.0
