Episodes,reward
0,-251
1,-176
2,-170
3,-269
4,-172
5,-1023
6,-541
7,-317
8,-182
9,-156
10,-693
11,-232
12,-157
13,-415
14,-182
15,-217
16,-353
17,-268
18,-142
19,-148
20,-207
21,-109
22,-133
23,-135
24,-278
25,-117
26,-198
27,-232
28,-251
29,-139
30,-105
31,-105
32,-102
33,-625
34,-1202
35,-101
36,-115
37,-122
38,-195
39,-224
40,-219
41,-196
42,-107
43,-109
44,-101
45,-302
46,-105
47,-112
48,-107
49,-112
50,-224
51,-101
52,-479
53,-602
54,-101
55,-101
56,-112
57,-102
58,-103
59,-126
60,-106
61,-101
62,-103
63,-442
64,-394
65,-873
66,-131
67,-272
68,-141
69,-193
70,-101
71,-102
72,-115
73,-102
74,-196
75,-117
76,-827
77,-109
78,-101
79,-245
80,-101
81,-107
82,-241
83,-114
84,-207
85,-101
86,-206
87,-101
88,-101
89,-281
90,-379
91,-109
92,-259
93,-102
94,-101
95,-143
96,-102
97,-190
98,-129
99,-117
100,-102
101,-106
102,-109
103,-342
104,-626
105,-109
106,-164
107,-191
108,-101
109,-115
110,-103
111,-104
112,-121
113,-108
114,-135
115,-105
116,-101
117,-112
118,-104
119,-118
120,-111
121,-234
122,-105
123,-104
124,-105
125,-117
126,-113
127,-106
128,-103
129,-161
130,-105
131,-155
132,-101
133,-105
134,-108
135,-115
136,-101
137,-192
138,-104
139,-103
140,-109
141,-103
142,-152
143,-103
144,-102
145,-134
146,-102
147,-102
148,-163
149,-129
150,-141
151,-108
152,-101
153,-105
154,-112
155,-103
156,-243
157,-117
158,-102
159,-107
160,-103
161,-110
162,-125
163,-105
164,-102
165,-153
166,-133
167,-121
168,-137
169,-103
170,-105
171,-104
172,-106
173,-102
174,-109
175,-128
176,-105
177,-132
178,-101
179,-214
180,-367
181,-105
182,-104
183,-598
184,-111
185,-102
186,-115
187,-102
188,-106
189,-265
190,-104
191,-114
192,-108
193,-113
194,-101
195,-126
196,-161
197,-130
198,-113
199,-104
